epoch,lr,loss,acc1,acc5,val_loss,val_acc1,val_acc5
0.0,0.1,4.7362614222717285,2.326,10.402,4.176892335510254,4.55,20.17
1.0,0.1,3.9793125828552247,7.972,27.364,3.729644451904297,11.39,35.21
2.0,0.1,3.596505125732422,13.886,39.262,3.380189303970337,18.11,46.09
3.0,0.1,3.197217741241455,21.012,50.356,3.0416188461303713,24.76,54.4
4.0,0.1,2.8627066474151612,27.46,59.176,2.948539242172241,27.6,58.05
5.0,0.1,2.578755384597778,33.434,65.994,2.7290752365112305,32.81,64.26
6.0,0.1,2.3250984757232667,38.61,71.442,2.460125640487671,37.09,68.89
7.0,0.1,2.0546578047180177,44.386,77.074,2.179934888076782,41.74,74.6
8.0,0.1,1.853308120727539,49.084,81.058,2.568749443054199,38.68,68.83
9.0,0.1,1.7258559825897217,52.168,83.444,2.0299184997558593,46.42,76.68
10.0,0.1,1.633933998374939,54.678,84.934,2.1781393941879275,44.21,76.31
11.0,0.1,1.551058161315918,56.834,86.248,1.8906248497009277,50.67,79.5
12.0,0.1,1.4831829347229004,58.32,87.384,1.791573854446411,51.66,82.37
13.0,0.1,1.4283829203796388,59.926,88.19,1.9521463037490845,48.47,80.24
14.0,0.1,1.3797197780609132,61.206,88.904,1.8497602712631225,52.02,81.99
15.0,0.1,1.3418536554718017,62.026,89.396,1.8469498220443725,51.71,81.83
16.0,0.1,1.309815862045288,63.002,89.928,1.920955450439453,50.54,80.02
17.0,0.1,1.2826343923568726,63.838,90.526,1.917488824081421,50.57,80.39
18.0,0.1,1.2567139650726318,64.574,90.944,1.6735289819717407,55.58,84.68
19.0,0.1,1.2316656619644164,65.34,90.932,1.8721281061172486,51.28,81.46
20.0,0.1,1.2157517223358154,65.974,91.27,1.7640205669403075,53.3,83.43
21.0,0.1,1.196551403427124,66.362,91.67,1.8282043659210205,52.58,83.01
22.0,0.1,1.1665239288711549,66.936,92.05,1.7782064414978027,53.32,84.26
23.0,0.1,1.1582416175460815,67.394,92.066,1.642251796913147,56.29,84.56
24.0,0.1,1.1404381235885621,67.896,92.372,1.7409284957885742,54.65,83.32
25.0,0.1,1.1227670664596558,68.652,92.572,1.569175397491455,57.45,85.32
26.0,0.1,1.1186178332519532,68.796,92.734,1.5906297788619994,57.47,85.52
27.0,0.1,1.108539532661438,69.016,92.698,1.5365819458007812,58.8,86.66
28.0,0.1,1.0967244329833985,69.278,92.928,1.5625427383422852,59.16,86.31
29.0,0.1,1.0916185469818116,69.602,93.002,1.7739565826416015,55.58,84.8
30.0,0.1,1.084264292755127,69.652,93.168,1.763224804496765,55.6,84.1
31.0,0.1,1.073360002784729,69.89,93.458,1.737393359375,55.15,84.34
32.0,0.1,1.0606152698516846,70.536,93.36,1.6902135829925538,56.39,84.59
33.0,0.1,1.048812633895874,70.864,93.532,1.777466484260559,54.52,83.01
34.0,0.1,1.0531739266586304,70.702,93.554,1.5349513513565063,59.35,86.98
35.0,0.1,1.0392818698883057,71.044,93.664,1.7710828205108642,55.71,83.19
36.0,0.1,1.0402683221054077,71.012,93.76,1.733786752319336,56.65,85.14
37.0,0.1,1.0324797453308105,71.372,93.904,1.6345029829025268,57.41,84.49
38.0,0.1,1.0364909569931031,71.188,93.774,1.536287412071228,59.59,87.24
39.0,0.1,1.0340660828018189,71.432,93.86,1.8820088262557984,54.91,83.12
40.0,0.1,1.0229804344940185,71.786,93.954,1.6619304725646973,57.49,85.67
41.0,0.1,1.0211996625900268,72.002,94.174,1.4648988721847533,61.13,86.87
42.0,0.1,1.0247283799743652,71.796,94.06,1.5574038721084595,58.82,86.1
43.0,0.1,1.0103154430389405,72.086,94.154,1.7768959846496581,55.91,84.21
44.0,0.1,1.00377486869812,72.458,94.276,1.6629004949569701,57.49,84.97
45.0,0.1,1.017740922718048,71.9,94.054,1.582863625717163,58.71,86.75
46.0,0.1,1.009226810913086,72.274,94.266,1.5803297338485718,59.45,86.21
47.0,0.1,0.9983819178771972,72.408,94.332,1.7537178455352784,55.64,84.18
48.0,0.1,0.9995776154899597,72.528,94.3,1.5433617420196533,59.72,86.32
49.0,0.1,1.0018263613891603,72.398,94.356,1.706548281288147,55.85,84.04
50.0,0.1,0.9879444870758056,73.156,94.368,1.972506693649292,53.77,82.47
51.0,0.1,0.9884058825683594,72.846,94.486,1.5635561393737794,60.13,86.27
52.0,0.1,0.9773354187011719,73.16,94.52,1.5895570247650146,58.61,86.3
53.0,0.1,0.9817940307426453,73.152,94.608,2.0189636209487913,53.92,82.99
54.0,0.1,0.9825999124336243,73.058,94.538,1.5928615266799926,59.3,86.7
55.0,0.1,0.9712971239852906,73.474,94.576,1.7186135816574097,56.6,85.04
56.0,0.1,0.9702528690910339,73.484,94.618,1.6289986474990845,58.33,85.41
57.0,0.1,0.9709785052871704,73.368,94.638,1.5017341354370117,60.54,86.61
58.0,0.1,0.9621358712005615,73.756,94.718,1.5541635473251343,59.6,86.77
59.0,0.1,0.9654862873649597,73.754,94.664,1.5132839138031007,59.85,86.61
60.0,0.1,0.9633334469604492,73.774,94.744,1.9160932628631593,54.23,82.03
61.0,0.1,0.9554005842208863,74.246,94.756,1.7551681274414062,56.07,83.89
62.0,0.1,0.9567873628616334,73.896,94.834,2.0851962224960325,51.4,78.91
63.0,0.1,0.9469219095039367,74.134,94.992,1.6794704833984375,56.99,83.95
64.0,0.1,0.9457519460868835,74.106,94.974,1.5743123901367186,61.22,86.63
65.0,0.1,0.9396699328613282,74.476,94.99,1.4023052814483643,63.12,87.6
66.0,0.1,0.9425957483291626,74.222,94.978,1.5192543941497803,60.85,87.47
67.0,0.1,0.9441279669189453,74.26,94.96,2.035659411239624,51.68,80.69
68.0,0.1,0.9371814862823487,74.264,95.12,1.432895435523987,62.36,88.3
69.0,0.1,0.9416515091323853,74.254,94.926,1.687399021911621,57.51,84.44
70.0,0.1,0.9278473527908325,74.734,95.254,1.5400672737121581,59.7,87.26
71.0,0.1,0.9320350297546387,74.61,95.124,1.5442389276504516,59.5,86.43
72.0,0.1,0.9460196071243286,74.22,94.994,1.6335047576904298,58.67,86.1
73.0,0.1,0.9181582716369628,74.834,95.174,1.818610817527771,56.59,84.75
74.0,0.1,0.9268125102615357,74.648,95.204,1.5380764076232911,60.57,86.96
75.0,0.1,0.9206257721710205,74.79,95.212,1.8956997743606567,54.77,84.04
76.0,0.1,0.9102526081085205,75.174,95.2,1.5905571418762208,59.49,85.65
77.0,0.1,0.915187216873169,74.974,95.368,1.403831640815735,62.84,88.69
78.0,0.1,0.9142517851066589,75.032,95.324,1.717637968826294,57.29,84.68
79.0,0.1,0.9032838325119018,75.438,95.436,1.756164898109436,57.0,84.53
80.0,0.1,0.9087622333526612,75.21,95.37,1.8091578929901122,56.77,84.79
81.0,0.1,0.8991879350662232,75.462,95.408,1.7212324808120727,59.12,85.7
82.0,0.1,0.9037942457962036,75.352,95.426,1.4573947483062744,62.27,87.54
83.0,0.1,0.904491162071228,75.368,95.352,1.5686245512008667,59.95,87.08
84.0,0.1,0.898601697845459,75.616,95.34,1.6259904676437378,59.28,85.94
85.0,0.1,0.8998294235420227,75.314,95.486,1.592269344329834,58.86,86.44
86.0,0.1,0.8958956462860107,75.448,95.452,1.7049424442291259,58.24,85.0
87.0,0.1,0.9078233141708374,75.346,95.394,1.9619139915466308,56.0,84.24
88.0,0.1,0.8890888528442383,75.726,95.48,1.6193777877807618,59.24,86.51
89.0,0.1,0.8937606549835205,75.62,95.58,1.628818259048462,59.15,85.55
90.0,0.1,0.8959442140960694,75.486,95.474,1.6798740295410157,58.58,85.93
91.0,0.1,0.8939509211349488,75.65,95.532,1.5644739500045777,61.28,87.15
92.0,0.1,0.8829721753311157,75.888,95.588,1.6139652115821839,59.7,86.64
93.0,0.1,0.8817845129013061,76.1,95.692,1.5256530334472655,60.95,86.93
94.0,0.1,0.8865852458190918,75.98,95.534,1.5431193866729735,60.37,87.04
95.0,0.1,0.8767794421386719,76.116,95.664,1.8343214092254638,54.62,83.29
96.0,0.1,0.8948276123046875,75.526,95.558,1.5941921438217164,60.09,86.03
97.0,0.1,0.8809861970329285,76.136,95.608,1.6976616437911987,57.78,85.07
98.0,0.1,0.8897026586341857,75.814,95.532,1.585878427696228,60.22,86.61
99.0,0.1,0.8846233203125,76.002,95.614,1.4925517374038697,60.41,87.67
100.0,0.1,0.8841109961318969,75.962,95.706,1.6061221828460694,59.08,85.26
101.0,0.1,0.887438317565918,75.848,95.572,1.4738749938964844,61.35,87.43
102.0,0.1,0.8759860870552063,76.256,95.628,1.6423915451049804,60.37,86.43
103.0,0.1,0.8744879926681518,76.424,95.612,1.6792807395935059,58.37,85.42
104.0,0.1,0.8824421270561218,76.034,95.624,2.2149641374588014,49.97,77.11
105.0,0.1,0.884503676109314,76.224,95.592,1.5839016222000122,59.76,86.42
106.0,0.1,0.8682407817459107,76.244,95.84,1.830043180656433,55.47,84.7
107.0,0.1,0.8835078079986572,76.164,95.652,1.9123225145339966,55.45,83.95
108.0,0.1,0.8790303512191773,76.234,95.71,1.660688763999939,58.77,85.99
109.0,0.1,0.8817357236862182,75.972,95.762,2.02308659286499,52.18,80.41
110.0,0.1,0.8774430654525757,76.492,95.734,1.6445739868164062,58.97,85.71
111.0,0.1,0.8630502815628052,76.576,95.898,2.20615574798584,53.2,83.64
112.0,0.1,0.8698067273330689,76.374,95.716,1.6858875434875489,58.67,86.29
113.0,0.1,0.8807434876060486,76.02,95.596,1.4281867450714112,62.34,88.31
114.0,0.1,0.870474458580017,76.51,95.814,1.5229358074188233,61.18,87.48
115.0,0.1,0.8797101152038574,76.304,95.658,1.6082498531341554,60.1,86.07
116.0,0.1,0.867477707901001,76.696,95.784,1.584021155166626,59.88,85.97
117.0,0.1,0.8653077109146118,76.636,95.87,1.6000401546478271,59.61,85.37
118.0,0.1,0.8735309354782105,76.36,95.644,1.532422986984253,61.49,87.35
119.0,0.1,0.8678562796783448,76.57,95.712,1.6067080547332764,58.92,86.41
120.0,0.1,0.8640719660949707,76.538,95.774,1.7435629287719727,57.86,85.19
121.0,0.1,0.8671702312850952,76.58,95.728,1.5205232975006104,60.56,86.28
122.0,0.1,0.8533598772239686,76.916,95.978,1.6597458654403687,58.93,86.07
123.0,0.1,0.8762350754547119,76.25,95.678,2.024067391014099,52.16,80.04
124.0,0.1,0.8767094919776917,76.202,95.766,1.5849178916931153,60.05,85.82
125.0,0.1,0.8726112263679504,76.466,95.72,1.5775972633361817,59.76,85.58
126.0,0.1,0.859446208267212,76.662,95.868,1.3764893598556518,64.43,88.69
127.0,0.1,0.8641983982467651,76.722,95.792,1.8099664947509766,56.31,85.16
128.0,0.1,0.8605603243255615,76.726,95.83,1.8929278997421264,56.6,83.19
129.0,0.1,0.8695801025772095,76.084,95.874,1.5163811525344848,61.66,87.33
130.0,0.1,0.8593697270202637,76.736,95.908,1.5512020446777344,60.07,87.37
131.0,0.1,0.8680617117118835,76.642,95.752,1.6184032527923584,58.79,87.35
132.0,0.1,0.8649701542663574,76.606,95.854,1.4468040544509888,61.84,88.29
133.0,0.1,0.8695521405410767,76.38,95.69,1.5575880534172057,61.13,86.29
134.0,0.1,0.8587959324645996,76.938,95.774,1.6440423908233643,59.36,85.47
135.0,0.1,0.8678437930297852,76.624,95.796,1.4692770866394043,62.25,87.97
136.0,0.1,0.8676350135612487,76.572,95.78,1.7706189701080322,57.0,83.97
