epoch,lr,loss,acc1,acc5,val_loss,val_acc1,val_acc5
0.0,0.1,4.867911240386963,1.478,7.244,4.4121172309875485,2.77,13.12
1.0,0.1,4.246023124237061,5.57,21.356,3.8987082649230955,8.18,29.01
2.0,0.1,3.6964162959289553,12.838,36.944,3.4271947326660155,17.28,43.76
3.0,0.1,3.131771129989624,22.184,52.334,2.9298264541625976,25.36,58.12
4.0,0.1,2.68902265914917,30.254,63.312,2.387789898300171,36.71,70.48
5.0,0.1,2.30406907875061,38.506,72.08,2.4448302661895753,37.2,69.5
6.0,0.1,2.032179560203552,44.798,77.632,1.9889634910583496,45.55,78.29
7.0,0.1,1.8410718155670167,49.296,81.14,2.27058762550354,41.82,74.48
8.0,0.1,1.7130693325042725,52.152,83.296,2.0041766731262207,47.0,78.19
9.0,0.1,1.602163415260315,55.37,85.204,1.7712899393081665,51.28,82.27
10.0,0.1,1.5221493432998656,57.326,86.746,2.0544966304779053,47.56,78.93
11.0,0.1,1.452493642730713,59.216,87.608,1.7603676834106445,52.64,82.74
12.0,0.1,1.4076177988052367,60.372,88.558,1.9983874977111817,50.62,81.22
13.0,0.1,1.3632067144012452,61.64,89.114,1.5713061437606812,56.68,85.63
14.0,0.1,1.3298453412246705,62.448,89.596,2.0078517543792724,49.72,80.28
15.0,0.1,1.298161424331665,63.452,90.036,1.698611127090454,54.99,83.83
16.0,0.1,1.2535094868087768,64.368,90.816,1.7547931921005249,54.46,83.35
17.0,0.1,1.2283441550445557,65.268,91.004,1.6127843605041503,56.42,85.77
18.0,0.1,1.2127657220840453,65.626,91.256,1.8150537715911865,52.98,83.19
19.0,0.1,1.1919664949798583,66.414,91.636,1.92688948802948,52.26,82.67
20.0,0.1,1.1722262537384034,67.012,91.786,1.5777402740478517,57.53,86.03
21.0,0.1,1.1569049186325073,67.46,92.136,1.5216915363311767,58.98,86.03
22.0,0.1,1.140974609222412,67.808,92.224,1.561148084449768,59.41,86.39
23.0,0.1,1.1342528272247314,68.014,92.454,1.689900759124756,55.5,84.47
24.0,0.1,1.1196856206893921,68.562,92.648,1.7063521755218505,57.0,84.32
25.0,0.1,1.106591675567627,69.088,92.81,1.603233275604248,58.07,85.57
26.0,0.1,1.0953247563171387,69.442,92.824,1.6280386610031128,57.51,86.49
27.0,0.1,1.0919023720932006,69.432,92.87,1.6262231704711914,56.57,86.0
